start,finish,distance,flights,steps
4/8/16 0:00,5/8/16 0:00,2.206240555,6,5412
5/8/16 0:00,6/8/16 0:00,3.172249065,7,7511
6/8/16 0:00,7/8/16 0:00,0.035635638,0,81
7/8/16 0:00,8/8/16 0:00,2.792690686,2,6395
8/8/16 0:00,9/8/16 0:00,3.331568639,8,7613
9/8/16 0:00,10/8/16 0:00,1.336936044,6,3471
10/8/16 0:00,11/8/16 0:00,0.874853356,1,2104
11/8/16 0:00,12/8/16 0:00,3.133171031,6,7990
12/8/16 0:00,13/8/16 0:00,2.237259405,4,5302
13/8/16 0:00,14/8/16 0:00,0.825187157,2,1867
14/8/16 0:00,15/8/16 0:00,1.599024199,0,3723
15/8/16 0:00,16/8/16 0:00,2.364721278,5,5701
16/8/16 0:00,17/8/16 0:00,1.928350931,5,4460
17/8/16 0:00,18/8/16 0:00,4.537865249,9,10839
18/8/16 0:00,19/8/16 0:00,2.98610885,5,7357
19/8/16 0:00,20/8/16 0:00,3.028550764,5,6853
20/8/16 0:00,21/8/16 0:00,1.880966582,2,4275
21/8/16 0:00,22/8/16 0:00,2.125387736,10,4976
22/8/16 0:00,23/8/16 0:00,0.464580599,1,1065
23/8/16 0:00,24/8/16 0:00,3.843317526,7,8674
24/8/16 0:00,25/8/16 0:00,3.022050916,10,7044
25/8/16 0:00,26/8/16 0:00,1.027909508,24,2277
26/8/16 0:00,27/8/16 0:00,0.904125006,0,2243
27/8/16 0:00,28/8/16 0:00,1.957649308,0,4485
28/8/16 0:00,29/8/16 0:00,0.716409916,0,1806
29/8/16 0:00,30/8/16 0:00,1.315914784,1,3123
30/8/16 0:00,31/8/16 0:00,2.996792482,0,7478
31/8/16 0:00,1/9/16 0:00,0.98373623,1,2338
1/9/16 0:00,2/9/16 0:00,4.626097387,3,10926
2/9/16 0:00,3/9/16 0:00,1.543125646,0,3959
3/9/16 0:00,4/9/16 0:00,1.352178279,1,3319
4/9/16 0:00,5/9/16 0:00,4.179392349,4,9444
5/9/16 0:00,6/9/16 0:00,1.704042447,0,4262
6/9/16 0:00,7/9/16 0:00,3.618798696,3,8374
7/9/16 0:00,8/9/16 0:00,1.0982363,1,2581
8/9/16 0:00,9/9/16 0:00,2.264574883,2,5390
9/9/16 0:00,10/9/16 0:00,3.315580758,7,7583
10/9/16 0:00,11/9/16 0:00,0.341424829,1,783
11/9/16 0:00,12/9/16 0:00,3.698264215,1,8756
12/9/16 0:00,13/9/16 0:00,3.785728844,9,8746
13/9/16 0:00,14/9/16 0:00,1.776873061,4,4199
14/9/16 0:00,15/9/16 0:00,2.15479102,5,5001
15/9/16 0:00,16/9/16 0:00,3.779347361,5,8731
16/9/16 0:00,17/9/16 0:00,1.671358019,3,3845
17/9/16 0:00,18/9/16 0:00,0.948927016,1,2178
18/9/16 0:00,19/9/16 0:00,0.51448292,3,1243
19/9/16 0:00,20/9/16 0:00,2.67486165,5,6160
20/9/16 0:00,21/9/16 0:00,2.077163117,7,5179
21/9/16 0:00,22/9/16 0:00,3.637917064,8,8619
22/9/16 0:00,23/9/16 0:00,2.181012885,5,5135
23/9/16 0:00,24/9/16 0:00,2.65231672,4,6461
24/9/16 0:00,25/9/16 0:00,1.84316094,2,4447
25/9/16 0:00,26/9/16 0:00,1.490253171,5,3658
26/9/16 0:00,27/9/16 0:00,1.864458091,4,4231
27/9/16 0:00,28/9/16 0:00,3.239419291,6,7465
28/9/16 0:00,29/9/16 0:00,2.583990744,5,5728
29/9/16 0:00,30/9/16 0:00,2.951780353,5,6985
